ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
100000,NGG,geom,8035.99215854352,8263.151029129374,8437.758919762327,8427.080890660542,10.0,0.75,8
100000,NGG,avg,8065.743744751134,8418.948519585152,8911.568333862195,8411.750364975138,10.0,0.75,8
100000,DP,geom,14025.844344993318,13833.611143817163,12816.448410547751,11885.769764640661,10.0,0.75,8
100000,DP,avg,14025.091557855116,13833.340326287731,12816.44573361268,11885.769764640661,10.0,0.75,8
250000,NGG,geom,16304.466233974234,16746.84911365132,16854.537784114567,17518.064725105654,10.0,0.75,8
250000,NGG,avg,16136.432843144481,16866.383764709426,16921.574188522845,16017.332268825718,10.0,0.75,8
250000,DP,geom,28398.96701849424,28195.756893784255,26922.84102309921,25727.33391886435,10.0,0.75,8
250000,DP,avg,28397.457166774766,28195.227236559225,26922.816864704862,25727.33391886435,10.0,0.75,8
5000,NGG,geom,2996.493048536805,2997.6686901874155,2937.625370939977,2934.9911755659195,1000.0,0.75,10
5000,NGG,avg,2995.5211030460414,2980.493482364419,2930.5708075070156,2964.5110424721597,1000.0,0.75,10
5000,DP,geom,2262.4386333065077,2273.2800898415244,2025.1532118969685,1933.1906363988264,1000.0,0.75,10
5000,DP,avg,2251.252973420374,2268.5733349734246,2025.0916520470735,1933.190636398827,1000.0,0.75,10
10000,NGG,geom,4862.483336769705,4842.062056758483,4840.93993075941,4731.229575069541,1000.0,0.75,10
10000,NGG,avg,4852.895506391654,4888.932807920268,4855.579828337068,4840.03662442441,1000.0,0.75,10
10000,DP,geom,3787.446136703434,3932.3570021419896,3440.3020163937663,3184.8772358785454,1000.0,0.75,10
10000,DP,avg,3748.098193846742,3929.466713391067,3440.300953298853,3184.8772358785454,1000.0,0.75,10
100000,NGG,geom,25590.800000821495,25354.21410817717,25952.379275862593,25735.239155748855,1000.0,0.75,10
100000,NGG,avg,25643.00075601693,25811.37539251717,26053.498769864444,25924.51208613935,1000.0,0.75,10
100000,DP,geom,32996.16790935517,32429.578905360067,31278.399447431242,29161.066640049597,1000.0,0.75,10
100000,DP,avg,32928.54276359436,32395.09400721961,31269.717842086324,29161.066640049597,1000.0,0.75,10
250000,NGG,geom,47973.732207748915,47787.77768519708,48061.7045008247,48808.726855371846,1000.0,0.75,10
250000,NGG,avg,47812.495259719915,48547.10746295408,48537.01340957001,50072.69384089996,1000.0,0.75,10
250000,DP,geom,72650.94600308318,72669.97673141093,69713.68747111886,67302.30947824013,1000.0,0.75,10
250000,DP,avg,72589.80140426713,72646.55251787636,69707.43871844636,67302.30947824013,1000.0,0.75,10
5000,NGG,geom,2845.1259747307536,2861.832128752988,2840.8030752297846,2907.0730460163027,1000.0,0.75,3
5000,NGG,avg,2851.4965265238525,2850.6359650819477,2863.562108936537,2821.968901594711,1000.0,0.75,3
5000,DP,geom,2263.3951243553865,2301.6283611806175,2060.028309846356,1959.3003668091912,1000.0,0.75,3
5000,DP,avg,2252.935761841445,2296.8546040755655,2060.026029399622,1959.300366809192,1000.0,0.75,3
10000,NGG,geom,4926.6885734901825,4918.846226516953,4928.593491076566,4885.286764152064,1000.0,0.75,3
10000,NGG,avg,4922.911576729956,4927.9870418632745,4937.343070022034,4843.268641040635,1000.0,0.75,3
10000,DP,geom,3964.1509133391346,3856.9014668735026,3538.1149899454012,3266.427161323419,1000.0,0.75,3
10000,DP,avg,3938.2082768496925,3848.1464680078716,3538.0629768336116,3266.427161323422,1000.0,0.75,3
100000,NGG,geom,26326.3151271156,26957.158716459315,26365.647481494027,27489.632262056024,1000.0,0.75,3
100000,NGG,avg,26400.85037306077,26422.356498667687,25956.148176492283,26730.133350122276,1000.0,0.75,3
100000,DP,geom,33914.876150523814,33632.99807086294,31788.39332379953,29922.047045587526,1000.0,0.75,3
100000,DP,avg,33845.29283192409,33609.64896651238,31788.264728072765,29922.047045587526,1000.0,0.75,3
250000,NGG,geom,48821.613826180146,49524.52010771276,49940.88747078478,50485.53673023982,1000.0,0.75,3
250000,NGG,avg,49648.09428618509,49563.84217003217,49295.86328137699,52537.05368693376,1000.0,0.75,3
250000,DP,geom,74439.01338256567,74295.61963148747,71641.0088024943,68753.58153201066,1000.0,0.75,3
250000,DP,avg,74368.19217327096,74275.93621876455,71630.68142134638,68753.58153201068,1000.0,0.75,3
5000,NGG,geom,775.9260016955851,835.6696712650728,1002.7165760213297,1062.7493377616947,10.0,0.75,4
5000,NGG,avg,765.4320804401589,815.3054341629556,1010.6297684606518,1076.1127180565256,10.0,0.75,4
5000,DP,geom,1082.0049291964078,1049.7104324094132,1018.1885051429241,1025.6516549482847,10.0,0.75,4
5000,DP,avg,1081.6051095263779,1049.4664059708257,1018.1703872949049,1025.6516549482844,10.0,0.75,4
10000,NGG,geom,1280.8144661694769,1326.0073932594798,1484.917599539059,1594.263892452619,10.0,0.75,4
10000,NGG,avg,1273.3445716495164,1351.2306922337198,1502.6550088822278,1622.0510979627293,10.0,0.75,4
10000,DP,geom,1923.263154419873,1846.2227627365987,1572.0286197356363,1484.590806168841,10.0,0.75,4
10000,DP,avg,1922.9647453861344,1846.1329125961572,1572.0280458675243,1484.5908061688413,10.0,0.75,4
100000,NGG,geom,6868.112802357921,7408.239869199622,7145.854229933435,6815.057943865083,10.0,0.75,4
100000,NGG,avg,6961.270919429946,6975.976823062829,7191.426222810566,7219.5477221087385,10.0,0.75,4
100000,DP,geom,11813.2694608075,11647.405124788482,10732.554390319681,9909.185903398102,10.0,0.75,4
100000,DP,avg,11812.745212991442,11647.243628589293,10732.552379517023,9909.185903398102,10.0,0.75,4
250000,NGG,geom,12941.387365894212,14003.857399785711,14944.133345225173,13549.060331424827,10.0,0.75,4
250000,NGG,avg,13953.865586167938,13982.489351124863,14829.907298573493,14129.259000210068,10.0,0.75,4
250000,DP,geom,23879.17004642309,23697.632583074585,22599.338203681342,21532.993630333887,10.0,0.75,4
250000,DP,avg,23878.672880443937,23697.30908086782,22599.33737869493,21532.993630333887,10.0,0.75,4
5000,NGG,geom,197.97254547504724,318.32661786063585,516.2363040474526,569.0033156532714,100.0,0.25,3
5000,NGG,avg,203.43271182610818,318.86517642252977,518.2633784295724,565.3207000268654,100.0,0.25,3
5000,DP,geom,595.8337127237548,621.0610541474667,625.0356763624848,630.3213204411088,100.0,0.25,3
5000,DP,avg,594.7901301845251,620.6189733439929,625.0169617945537,630.3213204411088,100.0,0.25,3
10000,NGG,geom,134.62386106394683,253.07532190229563,544.4871687030052,583.1889447323701,100.0,0.25,3
10000,NGG,avg,129.11900545648018,271.90684297234895,573.5757611452186,608.1563854341314,100.0,0.25,3
10000,DP,geom,778.424515812028,798.9588805849226,812.6251108792234,817.2295106144674,100.0,0.25,3
