"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
1800.680734242876,1802.9332695527503,1813.9485845129054,1851.3981818181776,2007.6389548693578,2118.8297872340427,py,"[1000.0, 0.75]",CMS,100,10
377.8641975308613,380.5240373116484,389.3715653622024,419.5084848484858,599.140142517815,716.0425531914894,py,"[1000.0, 0.75]",CMS,500,10
250.58794671865115,255.32671609662634,260.20066611157415,300.2012121212117,461.89073634204254,566.3191489361701,py,"[1000.0, 0.75]",CMS,1000,10
36.5726495726496,92.23076923076925,922.8214285714282,1385.3199999999995,4316.54054054054,15112.551020408166,py,"[10.0, 0.25]",CMS,50,19
36.5726495726496,92.23076923076925,922.8214285714282,1385.3199999999995,4316.54054054054,15112.551020408166,py,"[10.0, 0.25]",CMS,100,19
36.5726495726496,92.23076923076925,922.8214285714282,1385.3199999999995,4316.54054054054,15112.551020408166,py,"[10.0, 0.25]",CMS,500,19
687.8547008547008,743.5128205128207,922.8214285714282,1385.3199999999995,4316.54054054054,15112.87755102041,py,"[10.0, 0.25]",CMS,1000,19
1171.3736595966209,1190.7125368397146,1228.8420735382772,1532.8097484276739,2238.3852813852805,5178.696078431368,py,"[10.0, 0.75]",CMS,50,19
557.363503235858,576.4389027431442,606.3465943339362,898.43396226415,1584.6709956709954,4493.970588235294,py,"[10.0, 0.75]",CMS,100,19
141.90084557607486,163.87327136703738,202.91983122362825,477.4465408805035,1148.2640692640687,4067.5588235294103,py,"[10.0, 0.75]",CMS,500,19
268.6012565543941,266.85785536159625,294.7498493068113,669.419811320755,1237.839826839828,4062.6176470588225,py,"[10.0, 0.75]",CMS,1000,19
145.21944035346132,180.09121621621588,367.65540540540565,861.7381703470037,2319.8623481781365,5234.579207920789,py,"[100.0, 0.25]",CMS,50,19
69.51988217967653,99.79222972972973,287.3671171171172,777.9968454258673,2245.2348178137645,5155.207920792079,py,"[100.0, 0.25]",CMS,100,19
77.00883652430097,93.97635135135141,276.41666666666663,769.4637223974757,2281.2550607287453,5261.331683168316,py,"[100.0, 0.25]",CMS,500,19
336.0810014727554,373.89358108108104,367.6238738738742,812.5141955835965,2311.538461538462,5178.683168316831,py,"[100.0, 0.25]",CMS,1000,19
2068.13389633434,2080.983429613877,2116.7292644757404,2218.7686034658495,2637.905775075986,4288.464788732394,py,"[100.0, 0.75]",CMS,50,19
989.1293984456179,999.9803891760473,1035.1173708920182,1143.7298674821618,1554.0151975683889,3160.8239436619756,py,"[100.0, 0.75]",CMS,100,19
224.16847194173695,240.03466099118404,270.6263693270739,385.2140672782871,807.1823708206682,2446.8098591549287,py,"[100.0, 0.75]",CMS,500,19
248.31093568325323,275.28762541805963,313.25352112675995,442.7502548419979,761.1550151975682,2344.3732394366198,py,"[100.0, 0.75]",CMS,1000,19
2355.12184138105,2374.640080428959,2399.6642365330104,2511.458587088914,2803.301935483869,3379.9743589743584,py,"[1000.0, 0.25]",CMS,50,19
1013.0165123842836,1030.7885388739958,1069.136897529365,1181.560901339832,1525.9703225806463,2133.051282051282,py,"[1000.0, 0.25]",CMS,100,19
248.22967225419126,264.09886058981203,297.65532604293276,401.31607795371514,729.3251612903218,1301.9807692307702,py,"[1000.0, 0.25]",CMS,500,19
255.57468101075796,287.1152815013408,289.73673552045364,418.34591961023216,776.7664516129037,1417.884615384616,py,"[1000.0, 0.25]",CMS,1000,19
3853.4416514764935,3858.7873177505185,3863.7831823552474,3919.944711538461,4019.4180522565316,4129.7027027027025,py,"[1000.0, 0.75]",CMS,50,19
1878.87767437427,1881.5163156676738,1889.978141000392,1928.4507211538464,1989.4774346793345,2115.5405405405404,py,"[1000.0, 0.75]",CMS,100,19
387.3691035850271,391.6652009565686,397.2176053564403,445.85096153846166,523.5106888361046,628.081081081081,py,"[1000.0, 0.75]",CMS,500,19
249.9295148549767,254.6694438015894,260.8141000393852,308.65504807692264,378.2850356294533,478.83783783783775,py,"[1000.0, 0.75]",CMS,1000,19
58.969696969697004,69.05050505050505,309.4878048780489,757.9830508474575,3597.8958333333335,18530.441558441562,py,"[10.0, 0.25]",CMS,50,35
58.969696969697004,69.05050505050505,309.4878048780489,757.9830508474575,3597.8958333333335,18530.441558441562,py,"[10.0, 0.25]",CMS,100,35
59.03030303030307,69.13131313131314,309.58536585365863,758.3898305084746,3598.395833333334,18530.545454545456,py,"[10.0, 0.25]",CMS,500,35
58.969696969697004,69.05050505050505,309.4878048780489,757.9830508474575,3597.8958333333335,18530.441558441562,py,"[10.0, 0.25]",CMS,1000,35
1088.5390031405384,1105.6358787878744,1140.041095890413,1402.5057660626023,2032.2435233160625,5302.794642857143,py,"[10.0, 0.75]",CMS,50,35
506.3295005572078,525.8014545454541,553.6780821917807,821.6655683690285,1454.39896373057,4712.642857142858,py,"[10.0, 0.75]",CMS,100,35
130.2643602471905,148.4787878787876,178.46513075965126,446.4464579901156,1070.4507772020722,4319.410714285712,py,"[10.0, 0.75]",CMS,500,35
269.55906189848633,318.4404848484854,332.0610211706098,638.2257001647449,1031.5440414507768,4539.625000000005,py,"[10.0, 0.75]",CMS,1000,35
118.2079207920791,179.4352941176472,387.52955082742307,972.2100591715972,2200.313304721031,5916.310344827584,py,"[100.0, 0.25]",CMS,50,35
55.76661951909473,114.13921568627467,325.2316784869978,907.8846153846157,2128.5064377682415,5836.714285714286,py,"[100.0, 0.25]",CMS,100,35
64.43140028288578,109.03725490196081,322.28132387706887,901.6804733727816,2115.708154506439,5814.9655172413795,py,"[100.0, 0.25]",CMS,500,35
214.85431400282732,421.20392156862647,455.7021276595748,1193.4437869822484,2451.965665236052,6319.881773399011,py,"[100.0, 0.25]",CMS,1000,35
2417.5777956734705,2428.0498187189473,2449.1440134907302,2577.3673285198593,2910.2421875000023,3760.985915492958,py,"[100.0, 0.75]",CMS,50,35
1116.0195218127462,1127.1537531891966,1156.81888701518,1278.9611913357417,1630.703125,2489.1478873239435,py,"[100.0, 0.75]",CMS,100,35
252.7463275110314,264.7842084060708,297.11332209106234,423.29693140794285,767.7838541666674,1634.0422535211267,py,"[100.0, 0.75]",CMS,500,35
250.88178612089945,266.21525446488425,291.00101180438463,412.12364620938666,750.8749999999995,1589.6619718309862,py,"[100.0, 0.75]",CMS,1000,35
2412.3617073772493,2414.646341463415,2453.7557992408306,2581.914251207729,2873.391812865497,3248.2147651006726,py,"[1000.0, 0.25]",CMS,50,35
1072.4135208487528,1083.6315095583427,1119.4259805989025,1258.973429951693,1539.9146198830417,1969.7046979865765,py,"[1000.0, 0.25]",CMS,100,35
